ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
hydroxypropylmethylcellulose,33,18,Dry eyes | Treatment of Allergic eye disease | Treatment of Dry eyes | Treatment of Bacterial eye infections,Andre Plus Eye Drops | Ara Eye Drop | Ara Eye Gel | Artificial Tears BP Eye Drop | Ducira Gel,,composition_level_evidence_only,review_required
metronidazole,33,21,Treatment of Bacterial & parasitic infectionsTreatment of DiarrheaTreatment of Dysentery | Treatment of Bacterial infectionsTreatment of Parasitic infections | Treatment of Anal fissure | Treatment of Bacterial skin infections | Treatment of Mouth ulcers | Treatment of Wound infection | Diarrhea Dysentery | AcneTreatment of Bacterial infectionsTreatment of Parasitic infections | Infectious diarrhea | Treatment of Acne,Anaero Gel | Ano Metrogyl Cream | Anosum Cream | Aristogyl 400 Tablet | Aristogyl-F Oral Suspension,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
mupirocin,33,9,Treatment of Bacterial skin infections | Burns | Severe allergic reactionsTreatment of Skin conditions with inflammation & itching,B Bact Ointment | Biofil-AB Particles | Enzoheal Ointment | Enzomac CM Particles | Enzomac Ointment,,composition_level_evidence_only,review_required
simethicone,33,26,Acidity Stomach ulcers Bloating | Acidity Heartburn Stomach ulcers | Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers | Treatment of AcidityTreatment of Stomach ulcersTreatment of Bloating | Treatment of Irritable bowel syndromeTreatment of Abdominal pain | Acidity Stomach ulcers | Bloating Abdominal pain | Diarrhea | Heartburn | Infectious diarrhea,Aciloc-S Suspension Sugar Free | Acinil-O Oral Suspension | Alcid Tablet | Aristogyl-F Tablet | Digecaine Oral Gel Fruit Punch Sugar Free,,composition_level_evidence_only,review_required
torasemide,33,11,Treatment of Hypertension (high blood pressure)Treatment of Edema | Treatment of Edema | Edema,Amifru Plus Tablet | Dytor Plus LS 10 Tablet | Meltor 10 Tablet | Meltor 5 Tablet | Nephtor 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
trihexyphenidyl,33,7,Schizophrenia | Treatment of Parkinson's diseaseTreatment of Drug induced abnormal movements,Bexol DT Tablet | Bexol Tablet | Neocalm Plus Tablet | Pacitane Tablet | Parkin Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
betahistine,32,8,Treatment of Meniere's disease | Meniere's disease | Vertigo,B-Stil 16 Tablet | Betavert 16 Tablet | Betavert 24 Tablet | Betavert OD 24 Tablet CR | Betavert OD 48 Tablet CR,,composition_level_evidence_only,review_required
ethinyl estradiol,32,14,Contraception | Treatment of Polycystic ovarian syndrome (PCOS) | Polycystic ovarian syndrome (PCOS),Asmita Tablet | Divacon Tablet | Doris Tablet | Elestra Tablet | Femovan Tablet,,composition_level_evidence_only,review_required
hydrocortisone,32,24,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders | Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders | Treatment of Piles | Melasma | Piles | Treatment of Hair loss | Skin infections | Treatment of Anal fissure | Treatment of Bacterial eye infections | Treatment of Bacterial skin infections,A Ret HC Cream | Acetik-HC Ear Drop | Efficort Cream | Entofoam Foam | Hairmax Forte Solution,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
ondansetron,32,5,Treatment of NauseaTreatment of Vomiting | Treatment of Nausea Vomiting,Emefilm Orally Disintegrating Strip | Emesafe Oral Spray | Emeset 4 ODT Tablet | Emeset 4 Tablet | Emeset 8 Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
oxetacaine,32,21,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers | Acidity Heartburn Stomach ulcers | Treatment of AcidityTreatment of Stomach ulcersTreatment of Bloating | Acidity Stomach ulcers Bloating | Local anesthesia (Numb tissues in a specific area),Aciloc-S Suspension Sugar Free | Acinil-O Oral Suspension | Digecaine Oral Gel Fruit Punch Sugar Free | Ducaine Suspension Sugar Free | Erafate-O Oral Suspension,,composition_level_evidence_only,review_required
sildenafil,32,5,Treatment of Erectile dysfunction | Treatment of Pulmonary arterial hypertension (PAH) | Treatment of Premature ejaculation,Alivher Tablet | Assurans Tablet | Bigfun Jelly Mint Cool | Kutub 30 X Tablet | Long Drive-Gold Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
thyroxine,32,16,Treatment of Hypothyroidism,Eltroxin 100mcg Tablet | Eltroxin 125mcg Tablet | Eltroxin 75mcg Tablet | Eltroxin 88mcg Tablet | Euthyroid 100 Tablet,,composition_level_evidence_only,review_required
nimesulide,31,9,Pain reliefTreatment of Fever | Pain relief | Pain due to muscle spasm | Treatment of Abdominal cramp,Anafortan N 100 mg/50 mg Tablet | Myonal 100mg Tablet | Nedolide MR Tablet | Nicip 100mg Capsule | Nicip MD Tablet,,composition_level_evidence_only,review_required
cetirizine,30,15,Treatment of Allergic conditions | Treatment of Common cold | Treatment of Cough | Treatment of Sneezing and runny nose due to allergies | Common cold,Alerid Cold Tablet | Alerid Syrup | Alerid Tablet | Alerid-D Tablet | Allercet Tablet,,composition_level_evidence_only,review_required
divalproex,30,7,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Dayo  OD 500 Tablet PR | Dayo  OD 750 Tablet PR | Depakote 250 Tablet | Depakote XR 250 Tablet | Depakote XR 500 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
halobetasol,30,5,Skin conditions with inflammation & itching | Eczema Psoriasis,Habiccor Ointment | Halobet Cream | Halobet S Ointment | Haloderm Cream | Haloderm S Ointment,,composition_level_evidence_only,review_required
diacerein,29,8,Osteoarthritis | Arthralgia (joint pain),Accept-XL Tablet | Anoscha Forte Tablet | Arthocerin-A Tablet | Arthocerin-DG Tablet | Artilage  Tablet,,composition_level_evidence_only,review_required
flunarizine,29,4,Prevention of Migraine,Betacap Plus 10 Capsule SR | Betacap Plus 5 Capsule SR | Fluner 5 Tablet | Flupanol 10mg Tablet | Flupanol 5mg Tablet,,composition_level_evidence_only,review_required
amorolfine,28,5,Fungal nail infections | Treatment of Fungal infections,Amfocin Cream | Amluck Cream | Amocop Cream | Amonext Cream | Amoreal Cream,,composition_level_evidence_only,review_required
benzoyl peroxide,28,6,Acne | Treatment of Acne,AB-Next Gel | Aclind BP 2.5% Gel | Aclind BP 5% Gel | Acnovate-Trio Gel | Acrobenz A Gel,,composition_level_evidence_only,review_required
febuxostat,28,2,Treatment of Gout,Ebuxo 40 Tablet | Fabulas 40 Tablet | Fabulas 80 Tablet | Fbt 40 Tablet | Fbt 80 Tablet,,composition_level_evidence_only,review_required
valproic acid,28,8,Epilepsy,Encorate Chrono 200 Tablet CR | Encorate Chrono 300 Tablet CR | Encorate Chrono 400 Tablet CR | Encorate Chrono 500 Tablet CR | Encorate Chrono 600 Tablet CR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
alpha lipoic acid,27,18,Neuropathic pain | Treatment of Nutritional deficiencies | Treatment of Type 2 diabetes mellitus | Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain | Nutritional deficiencies | Treatment of Age-related hearing loss (presbycusis) | Treatment of Neuropathic pain | Treatment of Vitamin & mineral deficiency,Dubinor PM Capsule | Fine Nerve Soft Gelatin Capsule | Gabafix-Plus Capsule | Gabapin Plus 100 Tablet | Ksan Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
azilsartan medoxomil,27,4,Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke | Hypertension (high blood pressure),Abel 40 Tablet | Abel 80 Tablet | Abel-CT 40mg/12.5mg Tablet | Altoran 40 Tablet | Altoran 80 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
bilastine,27,3,Treatment of Allergic conditions,Akubliss Tablet | Beltas Tablet | Bilacad M Tablet | Bilachek Syrup | Bilagra M 20mg/10mg Tablet,,composition_level_evidence_only,review_required
dexamethasone,27,10,Treatment of Bacterial eye infections | Treatment of Bacterial eye / ear infections | Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation | Treatment of Bacterial infections | Eye infectionTreatment of Inflammatory conditionsTreatment of Autoimmune conditions | Treatment of Inflammatory conditionsTreatment of Autoimmune conditions | Treatment of Uveitis,Alciflox D Eye/Ear Drops | Apdrops DM Eye Drop | Atrodex-C Eye Drop | Auradex 4mg Tablet | Dexcin-M Eye Drop,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
ketorolac,27,13,Treatment of Bacterial eye infections | Pain relief | Post-operative eye pain and inflammation | Treatment of Allergic conjunctivitis | Treatment of Eye infection | Treatment of Post-operative eye pain and inflammation | Treatment of Dry eyes,Acular LS Ophthalmic Solution | Acupat Ophthalmic Solution | Alcarex KT Eye Drop | Apdrops KT 0.4 Eye Drops BAK Free | Gatilox Plus  Eye Drop,injection_or_parenteral,composition_level_evidence_only,review_required
levofloxacin,27,7,Treatment of Bacterial infections | Diarrhea Dysentery | Treatment of Respiratory tract infection,Alevo 500 Tablet | Glevo 500 Tablet | Glevo 750 Tablet | L-Bakterie OZ Oral Suspension | L-Cin 250 Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
nitroglycerin,27,6,Treatment of Angina (heart-related chest pain) | Prevention of Angina (heart-related chest pain),Alnitro 2.6 Tablet CR | Angiplat 2.5 Capsule TR | Angiplat 6.5 Capsule TR | Angispan - TR 2.5mg Capsule | Angispan-TR 6.5mg Capsule,,composition_level_evidence_only,review_required
recombinant human erythropoietin alfa,27,7,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Anfoe 10000IU Injection | Anfoe 4000IU Injection | Anfoe 6000IU Injection | Epocept 4000IU Injection | Epofit 10000IU Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
salmeterol,27,6,Treatment of Chronic obstructive pulmonary disease (COPD) | Chronic obstructive pulmonary disease (COPD),Airtec SF 250 Instacap | Airtec SF 500 Instacap | Digihaler SF 250 Inhaler | Esiflo 100 Transcaps | Esiflo 250 Transcaps,,composition_level_evidence_only,review_required
sertraline,27,3,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Daxid 100mg Tablet | Elesert 100 Tablet | Inosert 100 Tablet | Inosert 25 Tablet | Inosert 50 Tablet,,composition_level_evidence_only,review_required
acyclovir,26,6,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection | Herpes labialis | Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection,Acivir 200 DT Tablet | Acivir 400 DT Tablet | Acivir 800 DT Tablet | Acivir Cream | Acivir IV Injection,injection_or_parenteral,composition_level_evidence_only,review_required
chlorhexidine gluconate,26,21,Treatment of Mouth infection | Treatment of Mouth ulcers | Treatment of Skin infections | Treatment of Inflammation of gums | Treatment of Wound infection | Skin infectionsTreatment of Mouth infection | Treatment of Burns | Burns Wound infection,Burnheal Cream | Dermikem 4 Cream | Dresin Mouthwash &amp; Gargle | Fourderm Cream | Gee-X  Pain Relieving Gel,,composition_level_evidence_only,review_required
glucosamine,26,8,Osteoarthritis,Anoscha Forte Tablet | Arthocerin-DG Tablet | Artilage  Tablet | Biojoynt Tablet | Cartigen Duo Tablet,,composition_level_evidence_only,review_required
lactitol,26,5,Treatment of Constipation | Constipation,All Klear Granules | Defelax Syrup | Encelax Syrup | Eva Q Fiber Granules | Eva Q Syrup,,composition_level_evidence_only,review_required
lamotrigine,26,6,Epilepsy/Seizures Bipolar disorder,Lamepil 100 Tablet | Lamepil 50 Tablet | Lamepil MR 100 Tablet | Lametec 100 DT Tablet | Lametec 25 DT Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
levo-carnitine,26,21,Treatment of Nutritional deficiencies | Nutritional deficiencies | Carnitine deficiency | Male infertility | Infertility | Treatment of Muscle cramps,Ageless Tablet | Aisa  Tablet | Critizyme Tablet | Evion LC Tablet | Hosit-L Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
sertaconazole,26,9,Treatment of Fungal skin infectionsTreatment of Fungal infections | Skin infections | Treatment of Dandruff | Fungal infections of vaginaTreatment of Fungal infections | Treatment of Fungal skin infections,Episert Cream | Monoguard Cream | Monoguard Sertaconazole &amp; Zinc Pyrithione Shampoo | Fights Dandruff | Monoguard-B Cream | Mycoclin B Cream,,composition_level_evidence_only,review_required
silodosin,26,4,Treatment of Benign prostatic hyperplasia | Benign prostatic hyperplasia,Avoprost D 8mg/0.5mg Capsule | Geripod 4 Capsule | Geripod 8 Tablet | Maxvoid 4mg Tablet | Maxvoid 8 Tablet,,composition_level_evidence_only,review_required
tobramycin,26,8,Treatment of Bacterial eye infections | Bacterial eye / ear infectionsTreatment of Bacterial eye infections | Treatment of Eye infection with inflammation | Treatment and prevention of Lung infections in patients with cystic fibrosis,Eyebrex 0.3% Liquifilm | Floace-T Opthalmic Suspension | Lotepred T Eye Drop | Motogram Eye Drop | Nebracin 0.3% Eye Drop,injection_or_parenteral,composition_level_evidence_only,review_required
citicoline,25,7,Stroke | Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Hemocit-P Tablet | Megacholin Plus Tablet | Neucholine Tablet | Neuciti 500 Tablet | Neuciti Plus Syrup,injection_or_parenteral,composition_level_evidence_only,review_required
lactulose,25,7,Treatment of ConstipationTreatment of Hepatic encephalopathy | Constipation,Duphalac Enema Solution | Emty Oral Solution | Evict Fibre Granules | Evict Oral Solution | Evict XF Solution,,composition_level_evidence_only,review_required
milk of magnesia,25,14,Treatment of Constipation | Acidity Heartburn Stomach ulcers | Constipation | Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Acinil-O Oral Suspension | Deys Milk OF Magnesia 0.311gm Tablet | Deys Milk OF Magnesia Liquid Ice Cream | Disogel Suspension Pineapple Sugar Free | Ducaine Suspension Sugar Free,,composition_level_evidence_only,review_required
mirabegron,25,4,Treatment of Overactive bladder (OAB) symptoms | Overactive bladder (OAB) symptoms,Bladmir 25 Tablet ER | Bladmir 50mg Tablet | Exena 25 Tablet ER | Lupin Mira 25 Tablet ER | Lupin Mira 50 Tablet ER,,composition_level_evidence_only,review_required
carbamazepine,24,5,Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,Mazetol 100 Tablet | Mazetol 200 Tablet | Mazetol 400 Tablet | Mazetol SR 300 Tablet | Tegrital 100 Chewable Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
mesalazine,24,7,Ulcerative colitis Crohn’s disease | Treatment of Ulcerative colitis,Fibrimin-OD Tablet | Mesacol 800 Tablet DR | Mesacol CR 1gm Granules | Mesacol CR 2gm Granules | Mesacol CR 500mg Tablet,,composition_level_evidence_only,review_required
brimonidine,23,9,Treatment of Ocular hypertensionTreatment of Glaucoma | Treatment of Glaucoma | Ocular hypertension Glaucoma | Rosacea,Abpress Eye Drop | Albrim T Eye Drop | Alphagan Eye Drop | Alphagan P Eye Drop | Alphagan Z Ophthalmic Solution,chronic_or_specialist_condition,composition_level_evidence_only,review_required
ethamsylate,23,6,Bleeding | Heavy menstrual bleeding | Menstrual pain | Treatment of Bleeding,Etex-T Tablet | Ethamcip 250mg Tablet | Ethamcip 500 Tablet | Ethasyl 250 Tablet | Ethasyl 500 Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
fluoxetine,23,7,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder | Bipolar depression,Beteala 20mg Tablet | Flame 20mg Tablet | Floatin 10mg Tablet | Floatin 20mg Tablet | Floatin 40mg Tablet,,composition_level_evidence_only,review_required
fluvoxamine,23,4,Depression Obsessive-compulsive disorder,Fluvator 100 Tablet | Fluvator 50 Tablet | Fluvoxin CR 50 Tablet | Fmine 100 Tablet | Frext 100 Tablet,,composition_level_evidence_only,review_required
human insulin/soluble insulin,23,3,Diabetes,Equisulin-M 30 100IU/ml | Human Mixtard 50 Injection 40IU/ml | Human Mixtard 70/30 Suspension for Injection 100IU/ml | Human Mixtard 70/30 Suspension for Injection 40IU/ml | Huminsulin  30/70 100IU/ml Cartridge 3ml,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
insulin isophane/nph,23,3,Diabetes,Equisulin-M 30 100IU/ml | Human Mixtard 50 Injection 40IU/ml | Human Mixtard 70/30 Suspension for Injection 100IU/ml | Human Mixtard 70/30 Suspension for Injection 40IU/ml | Huminsulin  30/70 100IU/ml Cartridge 3ml,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
norethisterone,23,3,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Ethinorm P 5mg Tablet | Ethione CR 15 Tablet | Gynaset Tablet | Mendate 10 Tablet CR | Mendate 15 Tablet CR,,composition_level_evidence_only,review_required
omeprazole,23,8,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Abdominal pain | Treatment of Peptic ulcer disease,GR8 Capsule | Gaspaz Capsule | Gaspaz DS Capsule | HP Kit | Ocid 20 Capsule,,composition_level_evidence_only,review_required
pancreatin,23,13,Treatment of Pancreatic enzyme deficiency | Treatment of Indigestion | Indigestion Bloating,Agna 10000 Capsule DR | Agna 25000 Capsule DR | Endyze 170 mg/80 mg Tablet | Enzar 10000 Capsule | Enzar Forte  Tablet,,composition_level_evidence_only,review_required
prednisolone,23,13,Treatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome | Treatment of Bacterial infections | Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome | Treatment of Redness and swelling in the eye | Treatment of Bacterial eye infections | Treatment of Ear infection,Apdrops PD Eye Drop | Gatiquin-P Eye Drop | Kidpred Syrup | Mlobe-PD Eye Drop | Moxifax P Eye Drop,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
tolperisone,23,10,Muscle relaxation | Pain due to muscle spasm | Treatment of Muscle pain,Etogesic T Tablet | Etotol 150 Tablet | Myotop 150 Tablet | Myotop 450 SR Tablet | Myotop-DSR Tablet,,composition_level_evidence_only,review_required
aripiprazole,22,7,Schizophrenia Mania,Ariday 2.5 Tablet | Arifine 10mg Tablet | Arifine 2.5 Tablet | Arifine 5mg Tablet | Arip MT 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
dicyclomine,22,12,Treatment of Menstrual painTreatment of Abdominal cramp | Treatment of Abdominal pain | Abdominal pain | Improving Abdominal painTreatment of Irritable bowel syndrome | Treatment of Irritable bowel syndromeTreatment of Abdominal pain | Abdominal pain Irritable bowel syndrome | Acidity Stomach ulcers Bloating,Almefkem Spas 10mg/250mg Tablet | Baralgan NU Tablet | Biospas Plus 10mg/250mg Tablet | Mefkind-Spas Tablet | Meftal-Spas DS Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
etodolac,22,9,Pain relief | Pain due to muscle spasm,Diasdac-ER Tablet | Etofree 600 ER Tablet | Etogesic 400 Tablet | Etogesic ER Tablet | Etogesic MR Tablet,,composition_level_evidence_only,review_required
s-amlodipine,22,8,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke | Hypertension (high blood pressure),Asomex 2.5 Tablet | Asomex 5 Tablet | Asomex-AT 5 Tablet | Asomex-TM Tablet | Esam 2.5 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
albendazole,21,5,Treatment of Parasitic infections | Treatment of Worm infections,Abd 400mg Tablet | Abendol Plus 12mg/400mg Tablet | Abz 400mg Tablet | Albekem 400mg Tablet | Albendazole 400mg Tablet,,composition_level_evidence_only,review_required
chlorzoxazone,21,10,Treatment of Pain due to muscle spasm | Treatment of Muscular pain | Pain due to muscle spasm,Aceclo-MR Tablet | Acimol MR 100mg/325mg/250mg Tablet | Arflur-MR Tablet | Facer-MR Tablet | Hifenac-MR Tablet,,composition_level_evidence_only,review_required
desvenlafaxine,21,3,Depression,D-Veniz 100 Tablet ER | Defmind 100mg Tablet | Denlafax 50 Tablet PR | Desveren 100 Tablet ER | Desveren 50 Tablet ER,,composition_level_evidence_only,review_required
orlistat,21,2,Obesity,Ishape 120mg Capsule | Lipocut 120 Capsule | Lipocut 60 Capsule | Lipophage 120 Capsule | Lipophage 60 Capsule,,composition_level_evidence_only,review_required
sodium picosulfate,21,5,Treatment of Constipation | Constipation,Alpicno 5mg/5ml Syrup | Eva Q Plus  Oral Emulsion Strawberry Mint Sugar Free | Gerbisa L Syrup | Gudlax-Plus Laxative Peppermint Sugar Free | Kleangut Plus Oral Emulsion Peppermint,,composition_level_evidence_only,review_required
solifenacin,21,6,Treatment of Overactive bladder (OAB) symptoms | Overactive bladder (OAB) symptoms | Benign prostatic hyperplasia | Treatment of Benign prostatic hyperplasia,Antab Tablet | Bispec 5 Tablet | MSN Mirabig-S 25 Combikit | MSN Mirabig-S 50 Combikit | Megatas Plus 50 Combikit,,composition_level_evidence_only,review_required
tinidazole,21,14,Bacterial skin infections | Bacterial infections Parasitic infections | Syndromic treatment of vaginal discharge | Treatment of DiarrheaTreatment of Dysentery | Diarrhea Dysentery | Dandruff | Peptic ulcer disease | Treatment of Fungal infections of vagina | Treatment of Peptic ulcer disease | Treatment of Skin infections,Dandrid Lotion | Disederm Cream | Drez Powder | Drez S Dusting Powder | Drez S Ointment,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
alpha ketoanalogue,20,3,Treatment of Chronic kidney disease,Alfakit Tablet | Alfalog Tablet | Aplazar Tablet | Impulog Tablet | Ketoalfa  Tablet,,composition_level_evidence_only,review_required
aluminium hydroxide,20,19,Acidity Heartburn Stomach ulcers | Acidity Stomach ulcers Bloating | Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers | Treatment of AcidityTreatment of Stomach ulcersTreatment of Bloating | Local anesthesia (Numb tissues in a specific area) | Prevention of Hepatitis B infection,Acinil-O Oral Suspension | Alcid Tablet | Bevac Adult Vaccine | Digecaine Oral Gel Fruit Punch Sugar Free | Disogel Suspension Pineapple Sugar Free,,composition_level_evidence_only,review_required
bromhexine,20,15,Treatment of Cough with mucus | Treatment of Cough | Treatment of Respiratory tract disorders associated with viscid mucus | Cough | Cough with mucus | Treatment of Common cold,Alkof Syrup | Aroxyl Syrup | Ascoril Plus Expectorant | Ascoril SF Expectorant | Asthakind Expectorant Sugar Free,,composition_level_evidence_only,review_required
dabigatran etexilate,20,3,Treatment and prevention of Blood clots,Afogatran 110 Capsule | Afogatran 150 Capsule | Dabiclot 150mg Capsule | Dabiclot 75mg Capsule | Dabigat 110 Capsule,,composition_level_evidence_only,review_required
doxylamine,20,5,Treatment of Nausea and vomiting in pregnancy | Nausea and vomiting in pregnancy,Act Nvp Tablet | All 9 NVP Tablet | Damoxy Tablet | Doxinate -G Tablet | Doxinate OD Tablet,,composition_level_evidence_only,review_required
lactobacillus,20,14,Treatment of Bacterial infections | Bacterial infections | Syndromic treatment of vaginal discharge | Treatment of Diarrhea,Ampilox-LB Capsule | Amyclox-LB Capsule | Amyclox-LB-DS Capsule | Augpen LB 1G Bid Tablet | Augpen LB 625 Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
linezolid,20,3,Treatment of Severe bacterial infections | Treatment of Resistant Tuberculosis (TB)Treatment of Severe bacterial infections,Lineca Tablet | Linid IV 600mg Infusion | Linid Tablet | Linokem 600 Tablet | Linospan 600 Tablet,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
methyl sulfonyl methane,20,3,Osteoarthritis | Arthralgia (joint pain),Artilage  Tablet | Biojoynt Tablet | DR 4 Tablet | Dicovis-GM Tablet | Flexaid D Tablet,,composition_level_evidence_only,review_required
naphazoline,20,14,Treatment of Allergic eye disease | Allergic eye disease,Andre I-Kul Eye Drop | Andre Plus Eye Drops | Eyecon Eye Drop | Life OK  Eye Drop | Mezol Eye Drop,,composition_level_evidence_only,review_required
naproxen,20,7,Prevention of Migraine | Pain relief | Treatment of Migraine,Headset Tablet | Hedfree Tablet | Macprox DP 250 Tablet | Macprox DP 500 Tablet | Minado 500 Tablet,,composition_level_evidence_only,review_required
olopatadine,20,4,Treatment of Allergic conditions | Treatment of Allergic conjunctivitis,Acupat Ophthalmic Solution | Alerchek Ophthalmic Solution | Histafree Eye Drops | IF 2 Eye Drop | OLO 1 Eye Drop,,composition_level_evidence_only,review_required
cefalexin,19,8,Treatment of Bacterial infections | Bacterial infections,Phexin 125mg Redisyp Pineapple | Phexin 250mg Capsule | Phexin 250mg Redisyp Banana | Phexin 500mg Capsule | Phexin BD 375mg Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
diphenhydramine,19,12,Treatment of Common cold | Cough | Treatment of Cough | Allergic skin conditions | Dry cough | Treatment of Allergic skin conditions | Treatment of Nasal allergy symptomsTreatment and prevention of Motion sicknessTreatment of Insomnia,Aldryl Soft Gelatin Capsule | Benadryl Syrup | Biochemdryl Syrup | Gulfadryl Syrup | Histo Calamine Lotion,,composition_level_evidence_only,review_required
fluocinolone acetonide,19,7,Melasma | Treatment of Fungal skin infections | Dandruff | Skin conditions with inflammation & itching | Treatment of Skin infections,Advan-THF Cream | Ensarin-MF Cream | Flucort Forte Lotion | Lumacip Plus Cream | Lumaglo Cream,,composition_level_evidence_only,review_required
isosorbide mononitrate,19,6,Prevention of Angina (heart-related chest pain),Imdur 30mg Tablet PR | Imdur 60mg Tablet PR | Ismo 20 Tablet | Ismo Retard Tablet ER | Isomin 20mg Tablet,,composition_level_evidence_only,review_required
ispaghula,19,4,Treatment of Constipation | Constipation | Irritable bowel syndrome,All Klear Granules | Eva Q Fiber Granules | Evict Fibre Granules | Fiberlact Granules | Freego Granules,,composition_level_evidence_only,review_required
pramipexole,19,12,Parkinson's disease Restless leg syndrome,Mirator 0.25 Tablet | Mirator 0.5 Tablet | Pexopram 0.125mg Tablet | Pramipex 0.125 Tablet | Pramipex 0.25 Tablet,,composition_level_evidence_only,review_required
valsartan,19,9,Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke | Treatment of Heart failure | Hypertension (high blood pressure),Azmarda 100mg Tablet | Azmarda 200mg Tablet | Azmarda 50mg Tablet | Nebicard-V Tablet | Valembic 40mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
azelaic acid,18,8,Treatment of Acne | Hair loss | Melasma,Aziderm 10% Cream | Aziderm 10% Gel | Aziderm 15% Gel | Aziderm 20% Cream | Aziderm 20% Gel,,composition_level_evidence_only,review_required
baclofen,18,7,Muscle relaxation | Neuropathic pain,Bacfen 10 Tablet | Bacfen 5 Tablet | Baclof 10 Tablet | Baclof 25 Tablet | Baclof OD 20 Tablet ER,,composition_level_evidence_only,review_required
estradiol,18,7,Hormone replacement therapy | Hormone replacement therapy Post menopausal osteoporosis,EV 2mg Tablet | Emgra Tablet | Endothik Tablet | Enrifol 2mg Tablet | Estova 2 Tablet,,composition_level_evidence_only,review_required
ezetimibe,18,6,High cholesterol,Atorec EZ Tablet | Avas-EZ Tablet | Aztor EZ Tablet | Ezedoc 10 Tablet | Ezentia Tablet,,composition_level_evidence_only,review_required
